"Quarter","AdSet","Ad","Vendor","Start_Date","End_Date","Cost","Clicks","Impressions","Bounces","Sessions","UPV","Views","Completions","Step1","ClickRatePct","BounceRatePct","ViewRate","VTR","ClickableCompletions","ClickableCompRate","Swipes","SwipeUpRatePct","Opens","CTOR","Sends","LIOpens","OpenRate","Engagements","Results","EngagementRate","EngRate","Avg_RR","Av_TOP"
"FY19Q4","FA19_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2018-08-28,2019-07-31,147.02,104,16741,50,52,52,0,0,687,0.62,96.15,0,0,0,Inf,0,0,81,77.88,0,81,Inf,97,0,0.58,Inf,0,00:11:25
"FY19Q4","FA19_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID",2018-09-01,2019-07-31,145.28,113,8373,39,40,40,6509,202,4,1.35,97.5,77.74,2.41,0,Inf,0,0,2280,2017.7,0,2280,Inf,1133,0,13.53,Inf,0,00:00:05
"FY19Q4","FA19_DC_WA_VMEA_DISP_IG","WA_VMEA_DISP","VMEA_DISP",2019-05-02,2020-01-17,0,1501,391253,763,803,815,0,0,283.529411764706,0.38,95.02,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:04:45
"FY19Q4","FA19_GR_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-08-28,2019-12-15,461.52,527,73228,289,331,348,0,0,174.082191780822,0.72,87.31,0,0,0,Inf,0,0,266,50.47,0,266,Inf,507,0,0.69,Inf,0,00:02:55
"FY19Q4","FA19_GR_WA_FB_VID_IG","WA_FB_VID","FB_VID",2018-09-01,2019-09-08,563.83,701,46403,342,384,402,42124,14288,96.3538461538461,1.51,89.06,90.78,30.79,0,Inf,0,0,18322,2613.69,0,18322,Inf,32464,0,69.96,Inf,0,00:01:35
"FY19Q4","FA19_GR_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2018-08-28,2019-04-30,520.81,291,56483,137,141,141,0,0,362,0.52,97.16,0,0,0,Inf,0,0,166,57.04,0,166,Inf,275,0,0.49,Inf,0,00:06:00
"FY19Q4","FA19_GR_WA_IG_VID_IG","WA_IG_VID","IG_VID",2018-09-01,2019-04-30,337.33,201,21479,65,71,71,16329,467,32.1428571428571,0.94,91.55,76.02,2.17,0,Inf,0,0,8373,4165.67,0,8373,Inf,2646,0,12.32,Inf,0,00:00:30
"FY19Q4","FA19_UNI_WA_YT_VID_BR","WA_YT_VID","YT_VID",2018-08-09,2019-06-30,0.68,0,15,3,3,3,9,9,0,0,100,60,60,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,0,00:00:00
"FY20Q1","FA19_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-08-28,2019-08-05,105.02,155,15086,28,30,31,0,0,208.833333333333,1.03,93.33,0,0,0,Inf,0,0,109,70.32,0,109,Inf,120,0,0.8,Inf,0,00:03:30
"FY20Q1","FA19_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID",2018-09-01,2019-07-31,353.58,529,41436,73,77,86,28006,2842,23.0909090909091,1.28,94.81,67.59,6.86,0,Inf,0,0,314,59.36,0,314,Inf,8939,0,21.57,Inf,0,00:00:25
"FY20Q1","FA19_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2018-08-28,2019-07-31,111.78,99,17264,44,44,44,0,0,0,0.57,100,0,0,0,Inf,0,0,93,93.94,0,93,Inf,93,0,0.54,Inf,0,00:00:00
"FY20Q1","FA19_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID",2018-09-01,2019-07-31,21.72,20,1546,7,7,7,1347,36,0,1.29,100,87.13,2.33,0,Inf,0,0,19,95,0,19,Inf,194,0,12.55,Inf,0,00:00:00
"FY20Q1","FA19_DC_WA_VMEA_DISP_IG","WA_VMEA_DISP","VMEA_DISP",2019-05-02,2020-01-17,0,1877,408752,1131,1196,1234,0,0,139.598484848485,0.46,94.57,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:02:20
"FY20Q1","FA20_DC_WA_DBM_DISP_IG","WA_DBM_DISP","DBM_DISP",2019-08-08,2020-04-06,2392.25,218,165408,370,485,496,0,0,14.4402173913043,0.13,76.29,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:15
"FY20Q1","FA20_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2019-08-13,2020-04-06,621.1,741,274144,364,399,420,0,0,121.587301587302,0.27,91.23,0,0,0,Inf,0,0,697,94.06,0,697,Inf,710,0,0.26,Inf,0,00:02:00
"FY20Q1","FA20_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2019-08-13,2020-04-06,80.93,47,6992,40,41,41,0,0,946,0.67,97.56,0,0,0,Inf,0,0,42,89.36,0,42,Inf,42,0,0.6,Inf,0,00:15:45
"FY20Q2","FA20_DC_WA_DBM_DISP_IG","WA_DBM_DISP","DBM_DISP",2019-08-08,2020-04-06,12939,1030,1196427,1099,1716,1757,0,0,20.8484536082474,0.09,64.04,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:20
"FY20Q2","FA20_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2019-08-13,2020-04-06,2725.98,3664,1309415,1843,2022,2107,0,0,116.029498525074,0.28,91.15,0,0,0,Inf,0,0,3307,90.26,0,3307,Inf,3369,0,0.26,Inf,0,00:01:55
"FY20Q2","FA20_DC_WA_GM_TEXT_IG","WA_GM_TEXT","GM_TEXT",2019-08-28,2020-03-25,2309.64,4497,27360,57,95,206,0,0,67.4181818181818,16.44,60,0,0,0,Inf,0,0,70,1.56,0,70,Inf,0,0,0,Inf,0,00:01:05
"FY20Q2","FA20_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2019-08-13,2020-04-06,24.02,20,2285,16,17,19,0,0,55,0.88,94.12,0,0,0,Inf,0,0,16,80,0,16,Inf,17,0,0.74,Inf,0,00:00:55
"FY20Q2","FA20_DC_WA_LI_TEXT_IG","WA_LI_TEXT","LI_TEXT",2019-10-01,2020-04-05,1870.99,3833,9234,29,49,88,0,0,65.5593220338983,41.51,59.18,0,0,0,Inf,0,0,2,0.05,9234,2,0.02,3885,0,42.07,42.09,0,00:01:05
"FY20Q2","FA20_DC_WA_PIN_DISP_BR","WA_PIN_DISP","PIN_DISP",2019-08-28,2019-12-31,2157.81,1335,438593,424,452,496,0,0,75.8030303030303,0.3,93.81,0,0,0,Inf,0,0,0,0,0,0,NA,36020,0,8.21,Inf,0,00:01:15
"FY20Q3","FA20_DC_WA_DBM_DISP_IG","WA_DBM_DISP","DBM_DISP",2019-08-08,2020-04-06,2726.89,494,430767,655,856,893,0,0,33.9511400651466,0.11,76.52,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:35
"FY20Q3","FA20_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2019-08-13,2020-04-06,1851.74,3237,1488783,1704,1917,2007,0,0,87.7432098765432,0.22,88.89,0,0,0,Inf,0,0,3155,97.47,0,3155,Inf,3161,0,0.21,Inf,0,00:01:30
"FY20Q3","FA20_DC_WA_GM_TEXT_IG","WA_GM_TEXT","GM_TEXT",2019-08-28,2020-03-25,1617.89,3592,26957,60,75,131,0,0,117.1875,13.32,80,0,0,0,Inf,0,0,41,1.14,0,41,Inf,0,0,0,Inf,0,00:01:55
"FY20Q3","FA20_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2019-08-13,2020-04-06,1.09,2,248,2,2,2,0,0,0,0.81,100,0,0,0,Inf,0,0,2,100,0,2,Inf,2,0,0.81,Inf,0,00:00:00
