"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
NA,"FA21_TR_CU_FB_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_TR_CU_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","05-2020","05-2020"
NA,"FA21_TR_CU_IG_ST",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","06-2020"
NA,"FA21_TR_CU_IG_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","06-2020"
NA,"FA21_TR_CU_SC_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_TR_CU_YT_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2020","Ongoing"
NA,"FA21_TR_CUR_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","07-2020","Ongoing"
NA,"FA21_UG_HS_FB_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_UG_HS_IG_ST",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"FA21_UG_HS_YT_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2020","06-2020"
NA,"FA21_UG_HSR_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","07-2020","Ongoing"
NA,"FA21_UG_IN_PIN_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","06-2020"
NA,"FA21_UG_IN_PIN_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","05-2020"
NA,"FA21_UG_TL_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2020","Ongoing"
NA,"FA21_UG_TL_FB_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2020","05-2020"
NA,"FA21_UG_TL_IG_ST",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2020","03-2020"
NA,"FA21_UG_TL_IG_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2020","03-2020"
NA,"FA21_UG_TL_SC_VID",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","03-2020","06-2020"
NA,"FA21_UNI_ALL_DBM_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","07-2020","Ongoing"
NA,"SP19_CLR_ALL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","12-2018","05-2019"
NA,"SP19_GR_WA_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","09-2018","03-2019"
NA,"SP19_ST_WA_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","11-2018","07-2019"
NA,"SU19_IC_ALL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2019","06-2020"
NA,"SU19_IC_ALL_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2019","02-2020"
NA,"SU20_SIC_ALL_FB_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","Ongoing"
NA,"SU20_SIC_ALL_IG_DISP",NA,NA,"NA","NA%","NA","NA%",NA,"$ NA","02-2020","06-2020"
